code,tax_code,industry_code
ACB,0301452948,6419
BCM,3700145020,6810
BID,0106000439,6419
BVH,0100111761,6499
CTG,0100111948,6419
DGC,0101452588,2011
DIG,3500101107,4299
DPM,0303165480,2012
DXG,0303104343,6810
EIB,0301179079,6419
FPT,0101248141,6190
FRT,0311609355,4740
GAS,3500102710,0620
GEX,0100100512,2790
GMD,0301116791,4933
GVR,0301266564,0125
HCM,0302910950,6612
HDB,0300608092,6419
HPG,0900189284,2432
KBC,2300233993,6810
KDH,0302588596,6810
LPB,6300048638,6419
MBB,0100283873,6419
MSN,0303576603,7020
MWG,0306731335,7020
NLG,0301438936,6810
PDR,0303493756,6810
PLX,0100107370,4661
PNJ,0300521758,4773
POW,0102276173,3511
REE,0300741143,4322
SAB,0300583659,6619
SHB,1800278630,6419
SSB,0200253985,6419
SSI,0301955155,6612
STB,0301103908,6419
TCB,0100230800,6419
TPB,0102744865,6630
VCB,0100112437,6419
VCI,0305299779,6612
VHC,1400112623,1020
VHM,0102671977,6810
VIB,0100233488,6419
VIC,0101245486,6810
VIX,0102576064,6612
VJC,0102325399,5110
VND,0102065366,6612
VNM,0300588569,1050
VPB,0100233583,6419
VRE,0105850244,6810
